,Open,High,Low,Close,Adj Close,Volume,Openrolling_mean_3,Openrolling_mean_5,Highrolling_mean_3,Highrolling_mean_5,Lowrolling_mean_3,Lowrolling_mean_5,Openrolling_stnd_3,Openrolling_stnd_5,Highrolling_stnd_3,Highrolling_stnd_5,Lowrolling_stnd_3,Lowrolling_stnd_5,compound,negative,positive,neutral
2007-09-21,4752.950195,4855.700195,4733.700195,4837.549805,4837.549805,0.0,4679.350097666666,4610.1201172,4785.183431,4691.279980599999,4668.366699,4593.9,112.16964736955073,123.90162393970684,62.03883621914747,135.86330504089565,102.48435685795697,125.0965643331139,-0.9989,0.14,0.057,0.803
2007-09-24,4837.149902,4941.149902,4837.149902,4932.200195,4932.200195,0.0,4774.983398333334,4673.8600586,4852.566731666667,4769.7,4763.999999666667,4664.7599608,54.59312238235956,145.1134879683734,90.19073552730225,146.02432004831834,63.659709566795506,145.19759424462615,-0.9968,0.119,0.083,0.798
2007-09-25,4939.100098,4953.899902,4878.149902,4938.850098,4938.850098,0.0,4843.066731666667,4762.8600586,4916.9166663333335,4850.120019399999,4816.333333,4744.079980199999,93.21589591751562,143.75789771990677,53.39693714885616,99.25298420776028,74.44075914306285,127.3188359264903,-0.3788,0.099,0.1,0.802
2007-09-26,4937.600098,4980.850098,4930.350098,4940.5,4940.5,0.0,4904.616699333333,4840.3300782,4958.633300666667,4898.490039,4881.883300666667,4820.0999998,58.43277382438833,97.45301084995378,20.268946391294687,90.06805795531362,46.71212725634676,90.9280245409497,-0.9922,0.128,0.097,0.775
2007-09-27,4942.700195,5016.399902,4942.700195,5000.549805,5000.549805,0.0,4939.800130333333,4881.900097600001,4983.716633999999,4949.5999998,4917.066731666667,4864.4100584,2.6211221456354283,84.707790847354,31.348449267545067,59.88710676070827,34.26398907681307,84.40142494420601,-0.967,0.126,0.122,0.752
2007-09-28,4996.450195,5055.799805,4996.450195,5021.350098,5021.350098,0.0,4958.916829333334,4930.6000976000005,5017.683268333333,4989.6199218,4956.500162666667,4916.9600584,32.604722066784596,57.74261155064869,37.491331220776495,46.90180359880259,35.14448799674693,61.311538297758524,0.4657,0.101,0.111,0.788
2007-10-01,5021.5,5089.299805,5001.350098,5068.950195,5068.950195,0.0,4986.8834633333345,4967.4701172000005,5053.833170666667,5019.249902400001,4980.166829333334,4949.800097599999,40.26157079765981,38.95413401323951,36.48972050185474,54.763524053089725,32.53941884166696,50.980623180674115,-0.9975,0.126,0.08,0.794
2007-10-03,5069.0,5261.350098,5034.149902,5210.799805,5210.799805,0.0,5028.983398333334,4993.4500976,5135.483236,5080.7399416,5010.650065000001,4981.0000976,36.84928071678986,55.22309397103961,110.28332925830432,108.89551393427884,20.498390586153977,43.33022828338141,0.7304,0.089,0.096,0.815
2007-10-04,5211.649902,5233.100098,5126.049805,5208.649902,5208.649902,0.0,5100.716633999999,5048.2600584,5194.5833336666665,5131.1899416,5053.849934999999,5020.140039,98.96314951469766,102.06570628929157,92.26582076467317,109.47894286555976,64.64188043847768,67.68374034014467,0.9587,0.113,0.135,0.752
2007-10-05,5208.149902,5248.549805,5164.5,5185.850098,5185.850098,0.0,5162.933268000001,5101.3499998,5247.666667,5177.6199222,5108.233235666667,5064.5,81.36741748309416,102.46804567456168,14.145691023959017,97.16020864679706,66.97656022266048,76.36784831867858,0.8278,0.097,0.105,0.798
